"","...1","Transaction unique identifier","Price","Date of Transfer","Property Type","Old/New","Duration","Town/City","District","County","PPDCategory Type","Record Status - monthly file only"
"663",663,"{691FB85C-87D6-4CA1-9330-5149D955CB91}",610000,2009-10-14,"D",FALSE,"F","MARLOW","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"664",664,"{CDE0043E-8471-4A33-BE33-8D2ADF19306D}",610000,2008-08-28,"S",FALSE,"F","WINCHELSEA","ROTHER","EAST SUSSEX","A","A"
"665",665,"{6DF13332-8027-4525-B880-B75E1F4A7694}",545000,2008-06-30,"D",FALSE,"F","HASTINGS","HASTINGS","EAST SUSSEX","A","A"
"666",666,"{AB55ADBD-8F77-4AB6-A43A-99FB89A5DBC8}",310000,2008-07-29,"S",FALSE,"F","AMERSHAM","CHILTERN","BUCKINGHAMSHIRE","A","A"
"667",667,"{6CF6974F-A715-437A-8D03-5DDBEF96DB17}",75000,2009-06-15,"F",FALSE,"L","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"668",668,"{104818A9-03A5-4426-9DBB-85B4C5578C46}",143000,2008-06-13,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"669",669,"{F861E06F-2DA6-4FAB-AF7E-BFC62AF5C2E0}",127950,2008-03-20,"T",FALSE,"L","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"670",670,"{E6B17142-0E09-463E-BE17-1B8CD210576B}",250000,2009-10-20,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"671",671,"{54540E1D-35D8-4AAA-8BEA-F30BAAD09814}",195000,2009-06-30,"T",FALSE,"F","SLOUGH","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"672",672,"{F42E3D06-1A24-4E25-8069-5EC086B0280F}",277000,2008-11-25,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"673",673,"{F07A48E8-D4DE-4389-B161-86B8D3718F91}",230000,2009-01-30,"D",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"674",674,"{4A22BD97-1770-4975-91CE-E0D5BD91F49B}",380000,2008-04-09,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"675",675,"{D73DB41C-FACB-4C6F-BFC7-76E8FF9CD195}",1e+05,2008-01-25,"F",FALSE,"L","ST. LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"676",676,"{0610AB20-E059-4612-8602-7B76471EDC0B}",177000,2008-05-16,"F",FALSE,"L","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"677",677,"{AB05F188-ED82-40B9-B791-2F13CD053505}",156000,2009-02-06,"F",FALSE,"L","LEWES","LEWES","EAST SUSSEX","A","A"
"678",678,"{3D3C36F6-2A49-4C8D-90C9-62CE3BF8E52C}",220000,2009-10-26,"T",FALSE,"F","RYE","ROTHER","EAST SUSSEX","A","A"
"679",679,"{18819FE3-6E27-4310-80D1-98C431406249}",220000,2008-03-27,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"680",680,"{AD6CE270-989B-4468-AE16-C0A75C2CB69D}",240000,2009-09-29,"D",FALSE,"F","BEXHILL-ON-SEA","ROTHER","EAST SUSSEX","A","A"
"681",681,"{2A289EA1-9F19-CDC8-E050-A8C063054829}",4e+05,2008-01-02,"T",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"682",682,"{D7DB8B91-874B-443E-AF04-1ED75AEE74AC}",179950,2009-10-28,"S",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"683",683,"{BBE0D53C-B604-49F4-A3C8-55BD2E708768}",133000,2009-12-07,"F",FALSE,"L","ST LEONARDS-ON-SEA","HASTINGS","EAST SUSSEX","A","A"
"684",684,"{0482BF7F-3DDB-4C63-92C9-314F2158A159}",125000,2008-09-12,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"685",685,"{2606E653-8C9A-4EC0-8EE7-BF3FAADA954C}",150000,2009-01-28,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"686",686,"{011F6702-3CC1-40F8-A71A-E0AB4D4A1667}",247000,2009-08-07,"D",FALSE,"F","BUCKINGHAM","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"687",687,"{B8C02147-D80E-4BCD-AE16-C0E81F0CA77D}",280000,2008-09-19,"D",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"688",688,"{85D706F3-F2A8-42BB-884B-26DC8B52F575}",705000,2009-10-07,"F",FALSE,"F","CROWBOROUGH","WEALDEN","EAST SUSSEX","A","A"
"689",689,"{69CAAFE4-5701-4020-87A0-3C44BB223BF4}",379000,2008-01-10,"S",FALSE,"F","IVER","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"690",690,"{A06A0668-E5EC-4970-A77C-A9AE63CB81D8}",225000,2009-05-01,"D",FALSE,"F","EASTBOURNE","EASTBOURNE","EAST SUSSEX","A","A"
"691",691,"{841F28CC-A849-47AB-8BA3-80074BEA03BD}",120000,2008-01-18,"T",FALSE,"F","HIGH WYCOMBE","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"692",692,"{B209A2DE-1162-447B-928B-649339285289}",225000,2009-08-20,"S",FALSE,"F","PRINCES RISBOROUGH","WYCOMBE","BUCKINGHAMSHIRE","A","A"
"693",693,"{43300021-C279-4029-8F30-343425E1B4F0}",692500,2009-10-15,"D",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"694",694,"{84DF76BA-94B3-4E19-9EE7-4F59D6A5C01D}",85000,2009-09-10,"D",FALSE,"F","RYE","ROTHER","EAST SUSSEX","A","A"
"695",695,"{9AD3F445-430B-4DC6-9574-389CAFDAF288}",285000,2009-06-12,"S",FALSE,"F","IVER","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
"696",696,"{6F8F34B1-5519-40BD-BAE7-4771C7351D3C}",265000,2009-07-17,"S",FALSE,"F","AYLESBURY","AYLESBURY VALE","BUCKINGHAMSHIRE","A","A"
"697",697,"{4C612155-6142-4644-AE09-3FE127406A43}",193000,2008-06-05,"T",FALSE,"F","PEACEHAVEN","LEWES","EAST SUSSEX","A","A"
"698",698,"{9994FD8B-C5B5-446D-9F0C-BD60C42447F5}",152000,2008-10-06,"T",FALSE,"F","HEATHFIELD","WEALDEN","EAST SUSSEX","A","A"
"699",699,"{CDF8B9CB-84E0-4D86-8DFE-1F53D8A7911D}",389000,2008-01-28,"F",TRUE,"L","UXBRIDGE","SOUTH BUCKS","BUCKINGHAMSHIRE","A","A"
